"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_12","pland_15","pland_3","pland_33","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_0","loss.1","parent_id.1","no_change.1","pland_4","pland_25","pland_23","pland_32","pland_5","pland_41","pland_24","pland_39","pland_9","pland_20","pland_30","pland_11"
"2332",4,1005758,1005762,-66.2804813083138,-6.79715478759736,0.00607611164057231,83101.5801900373,NA,NA,99.8426455429325,0.157354457067481,0,0,50.7325613238511,210.122141542449,0,1.76802446040794,0,800.989489489941,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,118.354999542236,1.07007396221161,13.5,954.476428987086,170.55135975201,53.2719023702842,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2495",4,1005758,1005762,-65.7399407722901,-7.06742505719785,0.00141499338875817,63220.6428964699,NA,NA,99.9292252852609,0.0707747147391325,0,0,41.9649245585569,137.505347489531,0,0.106853592375057,0,892.462691274862,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,107.699996948242,1.04219305515289,11.5,934.581223091903,105.144645900416,41.2457907269306,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2578",4,1005754,1005758,-65.4696705210066,-6.79715478135214,0.00595921894864493,210342.737272807,0.000895517041689303,0.00109452082873137,99.7015938213304,0.296416140799159,0,36.8424412066608,0.252790435406787,133.380418291368,0,0.861113431859075,0,892.977064392475,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,98.8250007629395,2.50609803199768,12.5,892.389168033417,89.1568349960501,63.0312481137634,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2660",4,1005755,1005759,-65.1994002549105,-6.79715478560325,0.0141383846365006,408684.202621407,0.00586475866518093,0.00665998017910377,99.312232793146,0.67524246800973,0,7.69834811582647,17.2338458400932,166.557541205851,0,3.97495039506457,0,888.981644100763,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,96.7899971008301,1.64558750391006,12.5,872.775950387592,66.7159374858646,49.402897966953,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2826",4,1005762,1005766,-64.6588596995253,-6.25661424932458,0.00238821305372972,76388.5364286027,0.0282303637442607,0.0302184175290678,99.8805179675331,0.0610332511935778,0,0,44.7411633998396,146.639610331623,0,0.232862113440319,0,12.5958566484566,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,70.5299987792969,0.749706983566284,14.5,788.553554437242,41.9085787400643,50.6118934141603,16.8738460369099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3334",4,1005749,1005753,-63.0372381292239,-1.93228994789403,0.0120509624771256,320516.991796527,0.0853726246410469,0.00218904165746274,99.3987100574524,0.513728276249097,0,0,81.516137570719,176.23115998885,0,0.720829707643954,737.439786013809,0,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,59.8600006103516,0.784289002418518,18,347.734478907983,238.819725865177,0,187.567050564145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4737",4,1005753,1005757,-58.4426435414178,0.50014249845578,0.0156991858331832,319312.196939949,0.0461228478075246,0.0128229469120058,99.2121342850809,0.728919920199521,0,31.8690579120679,0.00886967689921358,168.470709253891,0,1.4451724984167,0,886.005502260049,1505304,0.623,0.52,0.778,0.599,72160,61.23,1700273,23921.23,197.089996337891,2.37519502639771,11.5,228.667231590331,169.738168260623,169.674211205297,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680",4,1005753,1005757,-65.1994002573837,-1.3917493746879,0.0230109999969845,424175.842070937,0.231210655173065,0.0363813842619698,98.8467299994334,0.88567796113156,0,0,62.3919288617613,175.343930482924,0,0.794894568292917,0,724.51738893041,1303601,0.479,0.323,0.737,0.461,24436,49.51,122622,5159.77,68.125,0.786193490028381,21,567.592293407304,65.5410823605239,44.9043486262077,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3495",4,1005753,1005757,-62.4966975606479,-2.74310073425701,0.00664889134510738,187707.031330278,0.0208745647404745,NA,99.6670009910448,0.312124444214714,0,0,88.9944975007744,142.007606470163,0,1.37607534166349,447.668565677319,0,1303205,0.57,0.434,0.776,0.551,18974,54.53,131530,7076.84,47.9200000762939,0.849228501319885,18,342.098630463159,156.268619213907,1.25018627822299,150.417221321719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2264",4,1005757,1005761,-66.5507515695067,-3.01337099981703,0.0136387255600126,198292.984954096,0.00149104033860532,0.000497013446201774,99.5990095516044,0.399002394610784,0,0,28.6952745148407,185.180655255595,0,1.02326456609854,0,0,1301605,0.53,0.4,0.719,0.518,18221,51.36,167327,8507.12,83.1100006103516,0.554436028003693,21,755.70147234223,37.0963476366154,56.237716117468,29.7132319787822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
