"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_12","pland_15","pland_3","pland_33","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_0","pland_4","loss.1","parent_id.1","no_change.1","pland_9","pland_24","pland_39","pland_41","pland_25","pland_23","pland_32","pland_5","pland_20","pland_30","pland_11"
"1369",6,1787990,1787996,-65.8750759118806,-6.75210973809532,0.0052538569163344,176838.067428253,0.00201390827430997,0.000279709482543052,99.7379122148572,0.259794167385986,0,11.350299494453,22.4207220216981,272.945481158045,0,0.0833840696040036,0,1195.1046617236,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,109.849998474121,1.68155097961426,12.5,919.273234254036,130.557962802458,70.5916775600914,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1430",6,1787995,1788001,-65.5147155956216,-6.75210973826333,0.00475945412685019,178768.568692612,0.000615360861594713,0.000615360861594713,99.7617434627698,0.237025815506982,0,49.123468245132,0.878648148846014,258.538936487442,0,0.000203553840774357,0,1383.47007681141,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,102.659999847412,1.15044403076172,12.5,892.018930474636,96.0983336889553,70.0409770103147,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2973",7,1788123,1788130,-56.5057065977728,-0.265623270595917,0.00635940132642998,124963.630228813,0.0303764498041754,0.0182930001583156,99.6837045171403,0.267626032897192,0,40.3169976790253,11.43211338744,477.810856173551,0,0.329966947181296,0,669.331098871026,1505304,0.623,0.52,0.778,0.599,72160,61.23,1700273,23921.23,185.809997558594,4.14240217208862,17,150.322420229178,178.649947807057,50.5674079854799,3.15866168916243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2219",7,1787903,1787910,-60.8300308527531,-8.19355117212312,0.129354877635149,56896.8526472059,0.00290680449391975,0.00335400518529202,99.4785639938599,0.515175196460854,0,0,29.8229754417586,409.98001946235,0,0.31286404827724,1582.56714426233,0,1303304,0.554,0.421,0.759,0.532,25237,51.43,183026,7288.37,138.400001525879,3.31101953983307,10.5,531.946994681489,85.2041252653113,0,30.8537256494755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638",7,1788049,1788056,-70.1994002937205,-6.39174939981868,0.000709217455768463,33275.1992120568,NA,0.000335651379051662,99.9645328376135,0.0351315110074073,0,0,24.442853330711,319.024367871727,0,2.91417277986723,0,1587.63051587173,1302306,0.516,0.34,0.766,0.528,14753,49.73,218279,13794.17,186.470001220703,2.90943598747253,15.5,1279.28509978212,45.9619570220205,246.759631521564,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701",7,1788006,1788013,-69.8390398971076,-5.67102868202472,0.00038484321477783,11624.5237422049,NA,0.0154959053328851,99.980755987601,0.00374810706607689,0,0,94.4271780149305,275.858921598227,0,1.13450988886854,0,1590.8384041273,1302306,0.516,0.34,0.766,0.528,14753,49.73,218279,13794.17,166.75,1.87266802787781,17.5,1207.00803245631,108.467141811435,222.901601829707,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1063",7,1788046,1788053,-67.6768777035884,-7.11247008816162,0.00248898254361773,90588.2528767637,0.000279709482543052,0.000503477068577493,99.8754733383718,0.123743475077046,0,0,47.8081248413781,368.668873852716,0,0.424927817067336,0,943.536947244243,1301951,0.477,0.266,0.772,0.529,7888,55.91,93772,11536.94,138.590003967285,3.45819699764252,13.5,1092.68688706055,239.382194529384,104.789862564439,0.85901901179854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1257",7,1787990,1787997,-66.5957966633871,-3.14850617217497,0.00799444041188702,229018.64749433,0.00111800172843067,0.0175526271363616,99.5998671813947,0.381462189740545,0,0,39.3867379954967,404.779296411706,0,0.578576114246346,0,0.758121197960049,1302207,0.522,0.376,0.704,0.538,14312,52.1,99727,7145.78,73,1.44670796394348,21,765.433784146554,47.3750439489568,51.2952832266144,19.3740946014265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1556",7,1788037,1788044,-64.7939948795798,-5.31066831307347,0.000375613302788569,8089.59990244434,0.0120744186670513,0.0061490095063687,99.9812175709624,0.000559000864215336,0,0,55.442549876028,241.635808969842,0,2.48063924542036,0,0,1301209,0.586,0.425,0.78,0.606,84272,54.27,1320621,15580.35,86.8699989318848,0.709509015083313,16.5,721.90709734194,141.679316333699,114.228725871479,49.0359016445767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3644",7,1788123,1788130,-52.5417425946674,-0.265623262130254,0.0907487688473432,252976.308744061,0.0514280795078109,0.0196768304203798,99.1220891427498,0.806805947321995,0,0,34.9174530016681,288.04120148715,0,1.94761114156898,544.19818753411,0,1600279,0.665,0.573,0.801,0.641,49446,57.87,850522,17885.4,111.325000762939,7.78783249855042,11.5,141.391922634108,42.2568044253048,0,107.149566887565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3706",7,1787950,1787957,-52.1813822672071,0.0947370975282706,6.15351394870345e-05,2574.00168577384,NA,NA,99.996923195692,0.00307680430797357,0,0,48.1392724686504,197.263551149025,0,4.40578038119918,0,0,1600402,0.592,0.449,0.758,0.609,21206,52.67,244713,12003.39,172.925003051758,9.40513515472412,12.5,88.0153325942028,89.8158769635337,45.6327936784408,89.249552698238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3768",7,1787960,1787967,-51.8210218883764,0.455097436052564,0.0484754677162377,760264.610818371,0.153952099191696,1.7613306115736,97.9020669971341,0.182258698825052,56.0323250744742,20.2414595454676,4.74122804145519,225.498817438687,4.22927059720798,0.20254104155604,0,0,1600535,0.64,0.554,0.777,0.61,21484,54.54,331983,16107.08,99.8399963378906,5.61364603042603,12.5,43.2401388495201,52.7419297149343,57.0750893591366,85.3276485717024,NA,NA,NA,NA,NA,0.000391593275560272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990",8,1788081,1788089,-62.2714723179363,-2.78814577666596,0.00465782116157509,113484.413033239,NA,0.0138176484376267,99.791784261195,0.194398090367421,0,0,63.4611350871567,251.906995715648,0,0.47305181607928,139.005238391299,0,1300839,0.569,0.436,0.775,0.544,12877,58.46,142324,11101.73,51.7150001525879,0.766391009092331,18,326.682641820068,131.494312596849,15.399714951982,129.44616558044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1015",8,1787959,1787967,-68.0372380816841,-2.42778543868543,0.000328911301360812,13783.3638657601,NA,NA,99.9835530824265,0.0164469175735314,0,0,46.5358620847377,297.897373445491,0,1.93781935025153,59.93773619033,0,1302108,0.522,0.345,0.748,0.552,3265,54.62,61964,14735.73,101.830001831055,1.17360305786133,24,898.07833578603,73.3434218483401,17.7616638680208,40.8744090689627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3716",8,43343,43351,-52.1813822674586,3.69834066735886,0.999465144672341,15091.1227867718,0.00290897861844774,0.00229361775685302,2.31269394356246,0.106401487159377,0,0,27.915929254899,290.967302773514,0,1.19971833483802,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.430000305176,8.07368230819702,16.5,310.154252054382,331.968440294343,24.0374411166468,45.3405138834192,97.5757019729029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2972",9,1787948,1787957,-56.5057065908657,-0.625983637877391,0.00321518936354259,66633.4307365889,0.00223767586034441,0.00464317741021465,99.8391111056412,0.154008041088204,0,15.6372758062376,20.610137627328,310.076022635362,0,4.24974126436648,27.8529764593293,143.142406211577,1505304,0.623,0.52,0.778,0.599,72160,61.23,1700273,23921.23,168.194999694824,3.1028960943222,17,110.475808040548,142.937793507465,21.9453106210332,15.8775274369729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2256",9,47895,47904,-60.8300308501951,5.13978214300962,0.999303279537936,122568.891084353,0.269019335886517,0.0634399930391328,2.64675287233172,0.139606944763701,0,0,60.5232770513778,139.737767747675,0,2.37568580436962,44.1704550664709,42.5395607026553,NA,NA,NA,NA,NA,NA,NA,NA,NA,1755.89001464844,7.78605222702026,9.5,653.592089980054,224.304859366699,12.4534402601483,12.3831065995719,96.8811808539789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1491",9,1787992,1788001,-65.1543552468852,-6.75210974941972,0.0126190701553283,364840.955599972,0.00363350561739968,0.00961481486450378,99.367043321449,0.619708358069122,0,7.69834687820446,24.1545180674379,295.868475250599,0,2.13029265810422,0,1492.99544258518,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,92.1750030517578,1.29166495800018,13.5,865.756313046469,67.4270594496849,51.0483316112353,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3645",9,1787953,1787962,-52.541742594319,0.0947371002350391,0.000248180983350332,11076.5290971956,NA,0.00206830319759674,99.9875901808144,0.0103415159879837,0,0,72.8498287603262,210.901361489874,0,2.32801287124378,0,0,1600279,0.665,0.573,0.801,0.641,49446,57.87,850522,17885.4,161.990005493164,7.69579887390137,12.5,108.797038808473,82.0791119740608,24.9629106265647,71.9499010068696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3707",9,1787948,1787957,-52.1813822656854,0.455097449838122,0.00066671624168535,24598.3225616341,0.000391593275560272,0.0183489420548242,99.9666586296809,0.0146008349887473,0,0,30.7412179097758,156.480448556453,0,1.75013316216716,0,0,1600402,0.592,0.449,0.758,0.609,21206,52.67,244713,12003.39,176.759994506836,7.4330677986145,12.5,52.6060226270382,89.8940403344206,69.5490870081426,57.9936378276061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2870",10,2473,2483,-56.8660669365224,-15.4007583841598,0.999999065768916,9354.8962974409,NA,0.0139750216053834,0.102632558669936,NA,155.773420504713,0,0.477910796935281,308.042097943424,0,0.513179195984492,0,0,5107701,0.65,0.52,0.807,0.653,17237,56.46,282529,16709.81,452.709991455078,2.08473253250122,0.5,62.0927752713011,48.8402923046887,22.6973032141764,40.1979797432904,99.8589081818721,0.0244842378526317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764",10,1787993,1788003,-69.4786795435109,-4.95030795705027,0.00190711299825175,15370.2398146437,0.000111800172843067,0.00167700259264601,99.9733915588634,0.0248196383711609,0,0,26.8899946984677,378.377235549426,0,1.66128058980087,0,327.855931221592,1303908,0.521,0.386,0.78,0.471,38515,50.96,235365,6186.16,142.050003051758,1.15875446796417,20,1137.01507267558,83.3996776373878,191.0349449109,10.8584387895758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"959",10,1787952,1787962,-68.3975984491667,-0.625983622667639,0.00797143356155883,215614.157339812,0.0269080522206416,0.00889476154486904,99.6035397794435,0.360657406791011,0,0,88.8075704598197,284.236902130539,0,2.947898595575,0,1599.52089673806,1303809,0.609,0.476,0.777,0.61,44816,49.69,313522,7037.06,115.405002593994,2.23366057872772,24,919.373699654703,154.901824638522,116.20467828571,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1079",10,1787942,1787952,-67.6768777075495,-1.34670435011967,0.00101341028445556,41536.9143002979,5.59418965086103e-05,0.00206985017081858,99.9493166417632,0.0485575661694737,0,15.1917729077733,20.7439184359239,255.805599674755,0,0.715704737272986,0,0,1303809,0.609,0.476,0.777,0.61,44816,49.69,313522,7037.06,90.0299987792969,1.27346152067184,24,841.517146742278,95.4550430720213,35.1259607471271,26.7290335656973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
