"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_12","pland_15","pland_23","pland_3","pland_32","pland_33","pland_5","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","loss.1","parent_id.1","no_change.1","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_39","pland_4","pland_41","pland_25","pland_9","pland_24","pland_30","pland_20","pland_11"
"4867",2,698458,698460,-62.8345353734395,-1.90976740659146,0.00140339805569467,46352.5561181002,NA,0.00716270807666963,0.00916826633813712,NA,99.9298054608486,NA,0.0538635647365556,NA,0,0,78.9452216615383,78.2394783346106,0,4.06310931747417,624.031321993439,0,1300409,0.5,0.315,0.728,0.545,27364,49.26,160472,5784.23,NA,NA,NA,57.6350002288818,1.09164297580719,18,325.937930366189,223.584071010101,0,166.357177663339,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8571",2,698461,698463,-54.2759768190068,-6.41427190552887,0.000555084231924963,18263.9977110251,NA,0.00558022939035279,0.0221778347565303,NA,99.9722419358531,NA,NA,NA,0,0,35.4536589684582,59.8252124975481,0,1.67632640522408,376.060459881824,0,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,NA,NA,NA,261.125,2.48547005653381,8.5,259.89683519951,141.499640118429,0,39.4107430530014,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5184",2,698461,698463,-62.1588597118156,3.27041275842174,0.084370606027411,693925.726985229,NA,0.000286165609761681,0.0303335546347382,NA,97.9220084247156,NA,2.04737185503995,NA,0,0,37.221349762431,296.421321052237,0,0.397893393327679,0,427.799852892705,1400027,0.484,0.319,0.815,0.437,12394,47.71,163220,14119.38,NA,NA,NA,314.629989624023,5.17274355888367,11,496.174325353787,160.424283999016,17.6801023832417,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5654",2,698461,698463,-61.0327336026908,-1.23409174349467,5.15091464421413e-05,1698.97653125859,NA,NA,0.00257549048785513,NA,99.9974245095121,NA,NA,NA,0,0,61.2193401264943,124.547949466174,0,0.192994800773138,0,624.254361924173,1303205,0.57,0.434,0.776,0.551,18974,54.53,131530,7076.84,NA,NA,NA,95.9000015258789,4.44652700424194,16,112.592194610403,142.793922027893,60.4206121341168,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5917",2,698461,698463,-60.3570579299338,-8.21607370987553,0.112858626402179,158376.468523458,NA,0.00729722304892287,0.000858496829285044,NA,99.338385110231,NA,0.653459169890799,NA,0,17.4588746127003,9.67970264311645,158.728207936166,0,1.87827864651734,33.8960721155329,0,1300144,0.637,0.54,0.772,0.621,21583,52.15,193460,9037.65,NA,NA,NA,140.105003356934,4.79923701286316,10.5,487.799676930957,113.347737002261,11.363140090825,64.2602772711007,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2689",2,698461,698463,-67.7894903571256,-6.86472235230147,0.00796333493443768,266739.824083181,NA,0.00143254161533393,0.00128928745380053,NA,99.6079133598831,NA,0.389364811047761,NA,0,0,68.9259275225685,141.719671915007,0,1.70912491522144,0,620.037843843731,1301951,0.477,0.266,0.772,0.529,7888,55.91,93772,11536.94,NA,NA,NA,135.465003967285,1.68329948186874,13.5,1085.14963462996,228.437190836764,129.650884197641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3768",2,698461,698463,-65.3120128819212,-6.63949713943019,0.00145891211514237,69817.3168314014,NA,NA,NA,NA,99.9270277695108,NA,0.0729722304892287,NA,0,0,24.085805870214,110.892811604409,0,2.29750080650226,0,388.622338401875,1304104,0.502,0.355,0.694,0.512,17299,53.13,338818,18896.71,NA,NA,NA,97.1600036621094,2.17060995101929,14.5,867.775526199532,88.0301609116566,69.6889891456588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13292",2,40358,40360,-43.4651660262583,-2.58544310080325,0.999999995931162,12184.3267903623,92.7253602950197,0.0631463479760693,0.00162376323367035,NA,0.0162376323367035,0.360655856011893,5.16356708307173,1.66345522382674,0,0,55.0011243716698,0,0,54.3980837118906,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.573914396488,64.1982531202485,151.248727906851,240.940259502028,NA,0.0045104534268621,NA,0.00144334509659587,NA,NA,NA,NA,NA
"7756",3,11514,11517,-56.0777786428796,-13.3962538796433,0.999796662885687,36899.6465382527,98.3433872850896,0.0729722304892287,0.00186007646345093,NA,1.42596323344246,NA,NA,NA,80.7703329795036,28.5717928003606,1.15419903845384,105.079618993003,0,1.2661129066771,0,0,5105259,0.768,0.71,0.833,0.766,63411,64.11,3720050,60473.87,NA,NA,NA,429.509994506836,0.49525249004364,3.5,212.234313191093,36.4310988688312,201.190687059234,88.468906977246,0.101016460245873,0.054800714269362,NA,NA,NA,NA,NA,NA,NA
"2505",3,698397,698400,-68.2399408201504,-4.1620196615851,0.000701822209680403,29555.0701853816,NA,NA,0.00744921639973641,NA,99.9649027304243,NA,0.0276480531759448,NA,0,0,76.5430253554164,151.14377414261,0,0.161781124417962,0,0,1302306,0.516,0.34,0.766,0.528,14753,49.73,218279,13794.17,NA,NA,NA,124.819999694824,1.25856101512909,20,976.352796863765,87.2027396675376,86.0256833606035,47.6339324966507,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7602",3,698430,698433,-56.5282290611434,-3.93679444041491,0.000289352472055304,11162.8862211103,NA,NA,0.0137523995072057,NA,99.9855313296851,NA,0.000716270807666963,NA,0,0,27.23595473159,162.830529402089,0,0.228124252861134,498.152844958898,104.063654296963,1501006,0.541,0.45,0.748,0.47,16371,54.52,144717,9074.85,NA,NA,NA,96.2099990844727,6.43665218353271,11.5,162.662218647325,65.6212403576483,0,5.31935214216392,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342",3,12177,12180,-73.1948957709178,-5.73859622019633,0.999726660965143,43163.1600548879,98.2594619373693,0.000859524969200355,0.00214881242300089,NA,1.67879551900983,NA,0.058734206228691,NA,0,0,70.1186122852743,19.2013288208151,10.7645987206101,12.7543547982226,0,12.9377451614773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.870002746582,1.8162414431572,20,1551.66175053892,206.580478144185,176.053944197783,13.3014111871464,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1798",3,698437,698440,-69.8165173606583,-8.89174939475973,0.000203167262648241,4406.72037795229,NA,NA,0.0101588791465397,NA,99.9898411208535,NA,NA,NA,0,0,16.7562476412145,114.112969178491,0,4.16092810186426,0,0,1200302,0.539,0.388,0.723,0.559,34675,50.16,350870,10842.72,NA,NA,NA,242.309997558594,3.29455089569092,8.5,1258.82224107089,60.4678766619799,41.9759501471064,20.0641551799415,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7693",3,698443,698446,-56.3030038421654,-5.51337100559935,6.58170072398434e-05,2229.90669727456,NA,NA,0.00329090451225933,NA,99.9967090954877,NA,NA,NA,0,0,4.56321202158987,59.8690967168813,0,3.1404725760322,621.583569799517,0,1508050,0.562,0.392,0.763,0.594,18807,51.94,329440,17837.45,NA,NA,NA,113.599998474121,2.8766770362854,12.5,52.8403864338896,106.832741586292,0,44.4124569626655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6514",3,698454,698457,-59.0057065723703,-6.18904668985762,0.276583490462666,170890.260167651,NA,0.0146294237871562,0.00143425723403492,NA,99.1371508480046,NA,0.846785470974219,NA,0,0,58.2076961138435,123.204124651862,33.3089826081878,0.632654837189157,621.093376873915,0,1300805,0.56,0.425,0.776,0.532,40565,54.38,295945,7313.77,NA,NA,NA,122.965000152588,3.8892674446106,10.5,269.514980503046,146.644231279077,0,80.4112898112672,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6913",3,698454,698457,-58.1048056731632,-4.61247011391944,0.0229289343886985,75057.1206867261,NA,0.00100277913073375,0.00143254161533393,NA,99.6659312953041,NA,0.331633383949804,NA,0,0,98.3481617140031,113.281772799595,0,2.71157958405243,613.129207856801,0,1302900,0.588,0.464,0.8,0.549,62755,56.75,458903,7376.44,NA,NA,NA,82.375,5.24204397201538,12.5,221.079844100883,133.028620292873,0,58.5317521322477,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9778",3,698457,698460,-51.5732741164242,0.567710047911128,0.247317727040088,2379395.77632719,NA,0.0103142996304043,7.48846803999656,NA,91.9846431538836,NA,0.417156118385239,NA,11.227045755603,25.6447000571502,2.59025382777039,118.19238940359,13.7160392751181,0.249699343324411,0,0,1600535,0.64,0.554,0.777,0.61,21484,54.54,331983,16107.08,NA,NA,NA,108.830001831055,4.13356399536133,12.5,46.3426932906595,22.7510103185501,39.3197077288352,102.060867742151,NA,NA,NA,NA,0.0994183881041744,NA,NA,NA,NA
"9883",3,698457,698460,-51.3480489005099,2.14428663630044,0.00313480523236342,86432.6333118839,NA,0.0322321863450133,0.0409706901985503,NA,99.8448557430593,NA,0.0815116179125004,NA,0,0,28.4741873727085,133.061003635521,0,0.655037071190757,0,0,1600204,0.643,0.55,0.759,0.636,10926,53.12,146922,13959.32,NA,NA,NA,104.339996337891,4.93337297439575,10.5,148.709294657049,142.305884376376,25.1944532788274,108.099924613701,NA,NA,0.000429762484600178,NA,NA,NA,NA,NA,NA
"5819",3,698457,698460,-60.5822831246992,-8.21607371503906,0.0310031787180299,102379.613627822,NA,0.000143254161533393,0.00100277913073375,NA,99.6278256883362,NA,0.371028278371487,NA,0,10.3697407746884,12.5311092150391,147.224912520913,0,1.21507489738944,601.022673634354,0,1303304,0.554,0.421,0.759,0.532,25237,51.43,183026,7288.37,NA,NA,NA,109.770000457764,3.86837446689606,10.5,509.213971942369,111.950282999671,0,55.01244798931,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1220",3,698457,698460,-71.1678687332956,-6.63949715822305,3.1477969354321e-05,1274.23239844236,NA,NA,0.00157391085368925,NA,99.9984260891463,NA,NA,NA,0,0,53.4187727458581,105.677646456572,0,0.157033615718758,0,512.385266945766,1300607,0.574,0.471,0.763,0.526,42020,55.01,279664,6766.77,NA,NA,NA,199.240005493164,2.79034090042114,15.5,1386.67065671285,72.5537009999754,150.364756329418,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2584",3,698457,698460,-68.0147156055809,-8.44129892823881,0.00281604910049793,29944.4613633916,NA,NA,0.00214624207321261,NA,99.9424807124379,NA,0.0553730454888853,NA,0,0,46.6011639365365,108.780878676362,0,2.23041951942359,561.851196614864,0,1300706,0.588,0.455,0.777,0.576,33976,52.4,364600,10668.3,NA,NA,NA,184.480003356934,2.72463250160217,10.5,1122.32670428971,96.8375091291066,0,25.6150902224274,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2591",3,698457,698460,-68.0147156001925,-6.86472236323985,0.00182136283793199,77183.3847286963,NA,NA,NA,NA,99.9088903532648,NA,0.0911096467352377,NA,0,0,53.5128069260432,169.246697517632,0,2.79002901448999,0,620.037657380783,1301951,0.477,0.266,0.772,0.529,7888,55.91,93772,11536.94,NA,NA,NA,142.980003356934,2.07426047325134,13.5,1104.83146821165,203.65201714959,129.013807569469,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
