"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_12","pland_15","pland_3","pland_33","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","loss.1","parent_id.1","no_change.1","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_4","pland_23","pland_32","pland_5","pland_41","pland_39","pland_25","pland_30","pland_9","pland_24","pland_11","pland_20"
"3224",10369,1358577,1368946,-59.3210218807408,-15.2431007130407,0.98586777571474,3138343.849204,NA,1.98042223683249,57.6476002629849,28.6388341003726,0.134414493388852,126.567369386636,65.0450622692998,0.418529855825268,243.604250733901,0,2.50365982733747,0,0,5106752,0.703,0.605,0.807,0.711,45093,62.87,1188803,27121.8,NA,NA,NA,249.270004272461,2.09020209312439,0.5,52.6769463628661,0,224.747262551865,33.3418722006308,1.63817663817664,NA,NA,NA,2.06435824384542,5.46351084812623,NA,0.125063919935715,1.25356125356125,1.05347359193513,NA,0.000584410840821097
"4389",16646,1352318,1368964,-54.2759768576546,-1.05391155929,0.0490364190206516,626465.227972162,NA,0.00248374607348966,2.33552487398641,97.6164073343561,0.0188472496164804,0,0,10.1994462615255,243.280912990009,0,3.77818823898092,274.750784459901,0,1504802,0.589,0.495,0.764,0.541,57900,57.66,690194,12223.18,NA,NA,NA,358.43000793457,4.76190257072449,2.5,248.087986369563,103.250090976367,4.65844994889332,117.795280332252,NA,NA,NA,NA,0.0267367959675652,NA,NA,NA,NA,NA,NA,NA
"1279",16650,1341447,1358097,-68.1498506910224,-10.513371028697,0.701936010393603,1925531.45554127,0.790415662210534,0.0351377018043685,21.9937906348163,76.561545766674,0.616991745196873,20.4969405285786,20.6466786544987,0.381830748139153,206.305116839978,60.0804395253644,0.964011691558678,601.803496635246,0,1200708,0.599,0.448,0.773,0.621,19048,54.32,231297,12726.81,NA,NA,NA,192.055000305176,2.2434720993042,4.5,1012.07460465986,39.3913599222984,2.72676991628982,155.316145584496,NA,NA,NA,NA,NA,NA,0.00211848929797648,NA,NA,NA,NA,NA
"6063",16654,1352273,1368927,-46.7084093158855,-2.94580346451584,0.634951915986448,3438795.60753705,NA,7.30513551026372e-05,29.5876251004456,69.8807801884725,0.470377675505881,165.356795043142,0,0.702759549990815,288.674753286927,0,0.228506181102146,0,373.229404753429,1505502,0.645,0.514,0.781,0.667,111764,55.38,2949844,26810.43,NA,NA,NA,68.4749984741211,1.67197197675705,2.5,112.673163872683,69.3442885588192,23.7291510710601,4.06718061862896,NA,NA,NA,NA,0.008254803126598,NA,NA,NA,NA,0.0528891810943093,NA,NA
"4383",26894,1342034,1368928,-54.275976858111,-2.94580345271389,0.273472733643344,2715315.14651955,NA,0.070859814449558,10.6026006282417,86.0274673095186,2.76506684198992,219.333474639415,0,0.615774191580381,206.156017201472,0,2.12596179253965,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.255001068115,3.82717502117157,3.5,216.42378715903,68.9942759403547,69.4498865915422,73.0456210965254,NA,NA,NA,NA,0.0465337132003799,0.473738037840602,NA,NA,NA,0.0137336547592958,NA,NA
"4651",8329,1360626,1368955,-53.0147155725224,-6.72958721778498,0.148374948470885,720688.4607373,NA,0.0580758273065966,6.92892103148513,93.0022645920082,0.0107385492000877,0,0,5.675761943528,208.502765967045,0,1.49546776741693,670.797499814451,0,1507300,0.594,0.411,0.798,0.638,124763,54.24,1392553,11157.74,NA,NA,NA,246.095001220703,2.95742905139923,7.5,211.806578798357,109.695403783895,0,39.1083958776092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2701",11401,1357615,1369016,-61.8435443757598,-3.57643407281383,0.165590100970378,754409.318493243,NA,0.0128570384980641,1.41661187815034,96.2858499525166,2.28468113083498,0,0,7.57748546888414,185.276921628177,0,2.34557286699353,0,0,1300086,0.594,0.526,0.741,0.537,13269,57.44,108109,8330.15,NA,NA,NA,44.8599987030029,0.604512006044388,16.5,364.850935584517,62.7001267736007,114.550518081508,38.5240946531606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4317",45604,1323323,1368927,-54.5912921704699,-1.68454218471915,0.888985672703855,4953821.70145727,NA,2.72211264518957,46.2247790196508,50.9342537804076,0.0168748630287092,233.689386518401,13.6492445573198,0.850247177607298,256.236174092768,0,0.232713322957084,0,0,1500404,0.564,0.436,0.779,0.529,56480,59.47,609244,11027.84,NA,NA,NA,77.9450035095215,1.33566147089005,4.5,196.63059310762,32.1915663633147,28.5639310666018,85.6269818878823,NA,NA,NA,NA,0.101979691723281,NA,NA,NA,NA,NA,NA,NA
"3402",9869,1359059,1368928,-58.6903912382526,-3.2611187709985,0.903131071882389,3569341.9507456,NA,2.83760683760684,7.00460223537147,62.901745927387,27.2560449996347,24.5029847150074,0,9.21797591016302,229.756726166854,58.5042275134604,2.36203055092834,0,77.9733567923032,1301902,0.644,0.534,0.811,0.618,99955,59.59,1978815,19817.09,NA,NA,NA,19.1549997329712,1.18958097696304,7.5,289.205880952394,29.756076067899,69.5693280833837,2.44653793532086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4985",10381,535679,546060,-51.4381389757758,-11.774632258896,0.987271530363879,1992268.39428274,60.110307546205,0.589670538388487,17.3031631236759,15.633428300095,0.0265906932573599,83.2365760863509,78.2246891832062,0.222102265043741,239.139276028197,0,0.125534276443171,0,432.48922575103,5100359,0.651,0.561,0.803,0.613,6659,61.2,108871,16837.42,NA,NA,NA,275.140014648438,2.54813098907471,2.5,346.774762149978,12.4010345034185,121.529948414641,0,3.48571846007743,NA,NA,NA,0.72686098327124,2.12426035502959,NA,NA,NA,NA,NA,NA
