"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_15","pland_3","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","loss.1","parent_id.1","no_change.1","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_33","pland_12","pland_23","pland_32","pland_5","pland_4","pland_41","pland_25","pland_39","pland_24","pland_30","pland_20","pland_9","pland_11"
"7092",5336,693124,698460,-57.654355219727,-8.44129892714328,0.639784789767605,1559288.80457944,NA,1.12820791648543,86.9386861564525,0,0,52.5134172346043,189.089375518575,29.9680995930857,1.30765255674193,0,613.536898411376,1503754,0.505,0.279,0.8,0.577,8899,47.61,327630,40653.91,NA,NA,NA,162.449996948242,2.56075501441956,9.5,675.062019654458,126.606363475354,20.6627745638126,0,4.79012614180078,7.06185183489389,NA,NA,NA,NA,0.0811279503674366,NA,NA,NA,NA,NA,NA,NA
"8979",6360,692100,698460,-53.3750759215711,-2.8106682997965,0.00338938169060155,95575.5686929896,NA,0.148411311348595,99.8303870727445,0,0,5.64555509576686,71.5642364981429,0,0.145510922374198,0,0,1504455,0.582,0.408,0.8,0.605,31213,51.88,580775,18901.74,NA,NA,NA,179.694999694824,2.81974709033966,2.5,312.906320435166,78.3281950944203,30.9273708751843,82.5309664884559,0.0212016159069421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6394",11184,687250,698434,-59.2309317887945,-11.1440016315445,0.567974102684814,1585874.03581047,NA,27.1267512821247,72.6152479729536,16.7375554213257,0,2.37881678446205,159.848189520636,0,0.892936785625121,0,344.511075136463,5105150,0.716,0.593,0.845,0.733,40905,58.08,1020697,25659.19,NA,NA,NA,337.230010986328,2.41177797317505,4.5,378.948373305614,56.8716215902608,233.177302735603,0,0.117611666618915,0.0955505257427728,NA,NA,NA,0.00501389565366874,0.00873850385353695,NA,NA,0.0310861530527462,NA,NA,NA,NA
"5339",12720,685679,698399,-61.7084092768598,-5.96382144834733,0.668859747724737,2223323.16321777,NA,3.97054783544333,82.4214189235595,0,0,10.531492316852,131.527670769051,38.8161620064974,2.87069942981721,76.0442074665939,0,1302702,0.582,0.456,0.747,0.58,54907,56.46,495942,9065.26,NA,NA,NA,41.625,0.86516198515892,16.5,600.97512824175,48.2117682796894,1.38806013338658,23.1514817199225,12.1753451157254,1.43268812527186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9270",48832,649628,698460,-52.6994002492319,-3.48634397879887,0.780303561297963,4198999.38696582,NA,45.6626937512535,54.1876056499441,122.978429351021,18.6267622211961,0.201357502541008,134.677100147749,0,1.29163670516339,0,71.8231372588334,1504455,0.582,0.408,0.8,0.605,31213,51.88,580775,18901.74,NA,NA,NA,216.060005187988,5.49474310874939,0.5,349.119467066612,20.4800039722016,80.7540918847295,5.530329046999,0.0487064149213535,0.0121766037303384,NA,NA,NA,NA,0.0770707389049652,NA,NA,0.0117468412457382,NA,NA,NA,NA
"7398",5849,692581,698430,-56.9786795336565,-5.73859623443622,0.0234834537389587,347812.351758671,NA,0.886111810627046,98.8327304777821,0,0,6.19307821614566,91.9681014341627,0,0.307960618306541,594.743160108889,0,1503606,0.64,0.51,0.8,0.644,101097,52.08,1770652,17971.96,NA,NA,NA,146.805000305176,8.24765658378601,9.5,367.005643637188,157.612034025356,0,66.4892018346021,0.169839289393558,0.105165861587418,NA,NA,NA,NA,0.00615256060987615,NA,NA,NA,NA,NA,NA,NA
"10438",46792,651668,698460,-49.9966975800677,-5.2881457891864,0.990309059777917,4511134.94835062,NA,64.7331174970633,35.1969744721084,104.272241341583,24.9639099534174,0.293001761842444,135.908232935029,0,0.812892161119203,0,0,1503705,0.528,0.364,0.746,0.543,53182,49.41,560412,10811.45,NA,NA,NA,146.980003356934,2.19999754428864,5.5,36.1247570196956,51.1117621814826,52.4501627432143,17.0836181223844,0.0525742772827551,0.015328195284073,NA,NA,NA,NA,0.0020055582614675,NA,NA,NA,NA,NA,NA,NA
"9134",2157,696286,698443,-52.9246254826581,-12.0449025372479,0.781905405165811,823767.846516159,NA,4.55734464086182,56.8011345729594,55.3689783590993,0,0.285931058011565,105.254486691097,0,1.48395405317339,0,141.040193292805,5107065,0.692,0.565,0.837,0.701,17014,56.76,1611455,97592.96,NA,NA,NA,310.210006713867,0.775292992591858,3.5,449.31752854578,97.2930794732312,244.915364597696,6.73645927517133,1.17754920780449,0.285648798097585,NA,NA,NA,NA,2.7507664097642,NA,34.4275563705126,NA,NA,NA,NA,NA
"4526",3181,498834,502015,-63.5102110994405,-12.4953530068231,0.851347767780819,1835266.30487544,28.1244992101829,0.816430484650077,44.8408633044115,0,0,14.7415508110418,91.0986849677489,33.9656146334763,0.599981889410092,223.652586291802,0,1101492,0.611,0.462,0.751,0.657,19842,56.86,341413,17335.87,NA,NA,NA,143.149993896484,1.0767639875412,3.5,462.166175494147,46.4716446358691,0.826319200667745,45.4868013820798,2.04579794418626,24.1724090565692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9823",3181,49506,52687,-51.3480489051537,-11.3692268586702,0.999741120023068,364601.126621512,92.4834541443429,3.89866200613128,2.50479901441137,7.70360516780347,23.300475682354,3.70592435074473,129.665739719843,0,1.56629641325475,0,0,5107859,0.668,0.538,0.848,0.652,11615,56.9,559803,49583.99,NA,NA,NA,203.369995117188,0.521256983280182,3.5,377.065041059422,32.7080609956274,107.444538119335,33.6198637690174,NA,0.222616967022892,NA,NA,NA,0.812107841732802,0.0752084348050311,NA,0.00315159155373464,NA,NA,NA,NA,NA
