"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_12","pland_15","pland_3","pland_39","pland_4","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_33","loss.1","parent_id.1","no_change.1","pland_41","pland_23","pland_32","pland_5","pland_25","pland_24","pland_9","pland_20","pland_30","pland_11"
"9330",12327,686119,698446,-52.4741750323934,-12.0449025518073,0.936000041672296,1480145.55631668,NA,0.140102569979658,16.7275019339312,40.7644042059422,38.5509841560897,0.00286508323066785,40.2051939081793,0,2.56072413741141,100.948970655607,0,0.533766822056845,0,0,5107065,0.692,0.565,0.837,0.701,17014,56.76,1611455,97592.96,318.75,0.952664017677307,3.5,408.729707116901,66.0243124779676,200.579073372442,44.7015414009362,0.272612669398046,NA,NA,NA,3.52133054465232,NA,NA,NA,NA,0.0201988367762083,NA,NA,NA,NA
"6692",9259,689192,698451,-58.5552561261343,-10.2431007411805,0.990811970830289,3203004.15304034,NA,0.123198578918718,68.2063146434404,30.7996447296794,0.00401111652293499,NA,60.6896136985311,0,0.779058471942197,177.967612888747,0,1.60408849268818,0,0,5105176,0.662,0.563,0.797,0.647,15370,58.91,188724,12654.98,256.489990234375,2.50578188896179,5.5,492.067598808184,10.4853524634999,116.571767470381,31.211627102519,0.152565682033063,NA,NA,NA,0.085379480273902,NA,NA,NA,NA,0.628885769131593,NA,NA,NA,NA
"9157",11307,687153,698460,-52.9246254820497,-6.86472235951286,0.111216929730841,647553.714025708,NA,0.00358135403833481,5.52961063518895,94.463942927542,NA,NA,0,0,3.04979012291107,104.646478995685,0,0.920278602982238,417.791679126071,0,1507300,0.594,0.411,0.798,0.638,124763,54.24,1392553,11157.74,272.350006103516,2.52169847488403,6.5,203.595982736406,106.387725450693,0,24.7387629602438,0.00286508323066785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2279",12331,666471,678802,-68.6903912425546,-10.9187763957655,0.914154172232389,3545551.64867032,2.83075021176255,0.0193161786589135,50.0260410704883,45.2434983173462,NA,NA,32.3848873036668,41.4114846830688,0.270564333605426,115.590930468412,48.2128119862728,1.37394433729434,158.796370743752,0,1200252,0.653,0.553,0.771,0.654,18122,55.34,435911,25139.04,229.050003051758,2.97054100036621,4.5,1046.58245228277,9.90130094175589,2.35281975620378,116.397730508698,0.632139831963554,NA,NA,NA,NA,NA,NA,NA,NA,1.24825438978045,NA,NA,NA,NA
"10146",43180,655280,698460,-50.6723732770098,-4.83769532919353,0.990953181733045,3715752.72679585,NA,0.000859524969200355,65.193106609747,34.7444345758244,NA,NA,47.8887388633768,0,0.323424217364643,73.5049596538504,0,6.1645051084027,0,0,1505064,0.537,0.376,0.741,0.557,74602,52.69,839896,11380.39,190.770004272461,2.88921344280243,4.5,87.6722319416299,51.8173604215822,75.0756612996185,29.9120756972286,0.0575881729364238,NA,NA,NA,0.00401111652293499,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8542",15917,682542,698459,-54.2759768152236,-12.9458034273938,0.303424903364312,897856.003753372,NA,0.113464664270507,5.70385293376983,83.6437753256565,6.39837686866143,0.552013461230283,25.8160599378096,17.720157585918,0.411963286450451,99.5210803091521,0,2.75994052408724,0,0,5106307,0.667,0.532,0.82,0.679,22246,57.89,769746,35616.58,365.75,1.23958897590637,2.5,329.793920731529,93.9196088407762,305.165559541767,29.2501521407008,0.0987271353677801,NA,NA,NA,3.4897896110437,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5909",18522,679941,698463,-60.3570579309335,-10.0178755003161,0.0200360361064585,105177.265888221,NA,NA,0.947923582335569,99.0452084430301,NA,NA,7.77652943380137,0,0.545927580561403,165.788537924159,0,0.338815519556028,0,0,5101407,0.675,0.553,0.816,0.682,21987,55.21,709381,33215.39,186.474998474121,2.58955550193787,4.5,502.939473369274,84.493336098067,126.964086820495,25.6818386726973,0.000858496829285044,NA,NA,NA,0.00600947780499531,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6313",10799,687638,698437,-59.4561570310015,-7.3151727929901,0.169103720260643,617896.527212116,NA,NA,7.29149973672764,92.7085002632724,NA,NA,12.0777932751586,0,4.92737864070525,65.4803786406085,0,2.90145125517732,441.527805583064,0,1300144,0.637,0.54,0.772,0.621,21583,52.15,193460,9037.65,148.789993286133,2.64011001586914,9.5,641.878479729492,48.1325865865164,0,122.905620099911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4347",11823,686621,698444,-63.9606615293725,-8.66652415211133,0.901511545026709,3186935.70829965,NA,0.470436372763455,34.5119581196888,52.8156620889957,NA,NA,59.4853226214049,45.6466665578008,0.5188401703423,142.834906437337,22.6735447625322,1.46653949338655,0,0,1100205,0.736,0.638,0.819,0.764,519531,61.25,16514535,31793.2,85.4300003051758,1.32731997966766,7.5,792.552097843127,8.86303248545328,27.9688531600516,28.0061454383889,4.72559073469827,NA,NA,NA,0.24353687833913,NA,NA,NA,NA,7.23281580551472,NA,NA,NA,NA
"2475",11313,364449,375762,-68.239940818266,-10.9187764228639,0.82933530668489,1393234.51359513,46.2172306105492,NA,11.9840701372375,41.7965504397903,NA,NA,0,0,1.42436808480936,66.3839880981384,0,1.03258299140087,0,0,1200708,0.599,0.448,0.773,0.621,19048,54.32,231297,12726.81,215.970001220703,2.68024849891663,4.5,1001.55255848404,39.2289454425262,18.5740655110823,165.562199794516,0.00214881242300089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
