"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_0","pland_12","pland_15","pland_3","pland_33","pland_5","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","loss.1","parent_id.1","no_change.1","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_4","pland_39","pland_41","pland_32","pland_23","pland_25","pland_24","pland_9","pland_30","pland_20","pland_11"
"8189",38365,660034,698399,-55.1768777399507,-4.16201967571054,0.59976714188512,3069360.38276806,NA,0.00515098097571026,26.083136832948,73.7699171264394,0.106024358416703,NA,2.05827720246085,59.7732174933397,1.05529177985265,108.173395890894,0,5.12487418498576,130.938481458279,0,1506195,0.548,0.392,0.764,0.548,49503,52,359148,7315.67,NA,NA,NA,131.559997558594,6.54358553886414,7.5,213.916369526446,28.9965718267425,5.74297686242899,47.1297073409795,NA,0.000715414024404203,0.035055287195806,NA,NA,NA,NA,NA,NA,NA,NA
"4148",52717,645692,698409,-64.4111119781314,-9.34219983203789,0.878605887837238,2619769.92628868,NA,0.314872647050397,34.0886170243246,59.8249434146062,3.86857863220927,NA,40.8023309977394,20.9988626983915,1.64398104004677,136.435051665368,0,0.703046430329681,3.21830349704456,0,1100205,0.736,0.638,0.819,0.764,519531,61.25,16514535,31793.2,NA,NA,NA,97.1049995422363,1.26266950368881,7.5,763.798255859307,8.19036607701304,14.8370150534327,20.8051150242762,NA,0.00931152049967052,1.35102999742143,NA,NA,NA,0.542646763888491,NA,NA,NA,NA
"9282",38389,659966,698355,-52.6994002481487,-0.78364128867669,0.574673668480698,7101190.97049427,NA,0.0434971726837756,8.6912788168769,67.6253691536366,0.00114466243904673,NA,230.235709210131,0,0.0747974328454944,130.37751190451,0,0.503419063224408,0,0,1500503,0.642,0.497,0.809,0.659,34142,59.18,666049,20064.73,NA,NA,NA,211.979995727539,4.22105407714844,12.5,197.514784592839,19.8635852389751,29.6521845478278,158.026905888771,NA,NA,NA,NA,NA,NA,NA,23.6387101943637,NA,NA,NA
"10837",36365,662095,698460,-49.0957966459374,-3.71156920715297,0.977497951597645,3270051.9855232,NA,0.0911437467090955,63.1288489274513,36.4994219454683,0.207326984272338,NA,182.329985973117,0,0.0741870401258713,108.772658433178,0,2.28042630862687,0,0,1503093,0.56,0.404,0.743,0.585,39857,55.43,373567,9492.97,NA,NA,NA,81.4700012207031,2.87443995475769,3.5,156.156068772447,12.9293792711037,80.9106177207386,60.4635546414529,NA,0.00543714658547194,0.0452141663423456,NA,NA,NA,0.0226070831711728,NA,NA,NA,NA
"9760",58933,639527,698460,-51.5732741150563,-3.48634398993512,0.727512249568829,4067436.79936241,NA,0.489929232444203,33.404148640518,65.2067157550927,0.899206371945105,NA,31.7167140283063,0,0.259832189602319,98.8706774710296,0,0.605561280713453,0,33.2444179006989,1500859,0.548,0.371,0.788,0.563,27161,48.3,351203,12961.42,NA,NA,NA,120.775001525879,2.95770108699799,5.5,267.466184595895,43.8794330971523,114.588413423016,9.64101535583113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7589",38469,659988,698457,-56.528229064567,-6.86472236268363,0.675714224918274,2204436.45792514,NA,0.804331456846786,22.391193660583,76.5877586145075,0.216716268062677,NA,61.5679237023399,0,3.4917888909226,66.142017287027,0,6.42721159657443,148.526512119067,0,1503606,0.64,0.51,0.8,0.644,101097,52.08,1770652,17971.96,NA,NA,NA,290.079986572266,4.32023286819458,7.5,483.206238114825,120.593654837353,5.74436170087306,79.5889705945969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8642",50781,647658,698439,-54.0507516008033,-12.4953530010055,0.0717582515117355,888246.803592689,NA,0.103572758788643,2.76666762169441,96.4081884078732,0.257427728275506,NA,0,0,0.611998000048959,112.556494879696,0,1.44429911483036,0,176.267514638577,5106307,0.667,0.532,0.82,0.679,22246,57.89,769746,35616.58,NA,NA,NA,348.735000610352,0.789002507925034,4.5,384.430022949637,96.5959354989293,350.956047999382,5.16683835613506,0.23307452081483,NA,0.230066183422628,NA,NA,NA,NA,0.00100277913073375,NA,NA,NA
"12105",38549,659912,698461,-46.1678687652759,-5.06292054786081,0.698678262625446,3949377.13294342,NA,0.00500789817082942,26.6335763833246,73.3107644055768,0.00672489182939951,NA,38.5226440927947,0,0.609707148227026,91.0469026597336,0,0.784339942006706,0,377.252971491164,2100956,0.512,0.365,0.701,0.525,32637,50.59,212474,6609.85,NA,NA,NA,238.925003051758,6.51466703414917,-3.5,256.37892430787,55.7941302823651,114.887914591672,0.590712797928016,0.039490854147112,NA,0.00443556695130606,NA,NA,NA,NA,NA,NA,NA,NA
"10029",36509,661932,698441,-50.8975984724641,-9.11697459965451,0.991564872022586,3806556.91828416,NA,0.00314782170737849,65.1425963233443,33.3085323138207,0.0447849179277031,NA,115.815522506028,0,0.0905435187041441,189.731586522387,0,0.510318634547391,0,0,1506708,0.602,0.478,0.774,0.591,71187,54.19,803114,11349.19,NA,NA,NA,222,2.61983197927475,3.5,281.083905192449,58.2780978057569,110.5307118712,96.9989928556987,NA,1.4950722281999,0.00586639500011447,NA,NA,NA,NA,NA,NA,NA,NA
"11428",44733,653727,698460,-47.7444452945935,-3.03589353398506,0.941834388915685,4830508.83646786,NA,0.278152972688354,41.4838545362973,46.4083354318811,0.871088116114558,NA,202.37599739998,0,0.629953980183731,167.303774019375,3.25896173166159,0.810271846003612,0,0,1505502,0.645,0.514,0.781,0.667,111764,55.38,2949844,26810.43,NA,NA,NA,95.4699974060059,2.82356548309326,1.5,23.7344085393412,30.6030705989011,108.70136021247,17.8202468099213,NA,8.966140885053,1.94335065589158,NA,NA,NA,0.0490774020741283,NA,NA,NA,NA
