"parent_id","loss","no_change","tot_pixels","Long","Lat","division_3","ed_3","pland_3","len.st.roads","len.fe.roads","dist.roads","len.rivers","len.waterways","dist.rivers","area.protected","area.indigenous","CODE","IDHM","IDHM_E","IDHM_L","IDHM_R","POP_2018","IPS","PIB","PIB_PC","dem.data","slope.data","wi.data","dist.mining","dist.urban","dist.pa","dist.il","pland_12","pland_15","pland_33","pland_41","pland_24"
"235508",930,27005,27935,-52.2039047621568,-3.71156921315128,0.774787200362703,4801798.10763444,61.4758506938219,5.02720548894269,0,0.0370899664250365,2.25105656146432,0,2.66313504467067,0,0,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,140.309997558594,2.35058808326721,4.5,293.82898611746,52.582945800086,87.9260811615355,22.9370210082748,NA,38.5241493061781,NA,NA,NA
"243308",994,26939,27933,-51.4837583179009,-3.37285846924442,0.994683204914619,4764524.69096975,16.5816326530612,0,0,1.16002804602194,0,0,2.68765311011305,0,0,1500859,0.548,0.371,0.788,0.563,27161,48.3,351203,12961.42,94.8050003051758,3.71641206741333,5.5,272.936200022309,36.3465134117156,112.278454779313,23.458005054969,NA,83.4183673469388,NA,NA,NA
"233565",1412,26522,27934,-52.361629604576,-3.47510525129697,0.835285966238347,2061472.05169768,45.2380952380952,0,0,0.339936186547289,0.00240539406179208,0,1.84243141182143,0,0,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,129.949996948242,2.28122091293335,1.5,324.69179117798,24.9160641769323,81.238168698892,29.3966259181859,NA,54.7619047619048,NA,NA,NA
"235507",3466,24469,27935,-52.2039047576823,-3.7566142590755,0.774284766769937,7480107.77531599,57.2770626411847,0,0,1.80669184854521,6.24701296749708,0,1.60951355790704,0,0,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,144.899993896484,2.7024610042572,5.5,290.009394713625,57.5612453651142,83.8710256112158,18.5375699184832,NA,42.7229373588153,NA,NA,NA
"237459",2571,25362,27933,-52.0237245873104,-3.57643407656642,0.947332876366228,6446304.19270817,44.4583886119976,8.81200282637479,0.99071933700567,0.137898217949201,0,0,3.66321650561011,0,0,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,144.184997558594,4.92799663543701,5.5,290.424282521635,43.4924665523581,98.8485313811542,20.3158785316298,NA,55.5416113880024,NA,NA,NA
"243306",611,27322,27933,-51.4831840332295,-3.44129894186021,0.944577457777427,3946599.18883553,39.4069004847448,5.69209803929374,0,0.398947756249655,4.80866061236029,0,0.800082872157492,0,0,1500859,0.548,0.371,0.788,0.563,27161,48.3,351203,12961.42,103.66499710083,3.80771350860596,5.5,266.37889471793,42.6274371707605,117.592010547666,19.5796708468418,NA,60.5610208155118,0.0320786997433704,NA,NA
"239399",771,27162,27933,-51.8435444179323,-3.93679444735525,0.0772192135038244,1900557.31714396,96.1826347305389,0,0.657854150880958,3.19743941756132,0,0,2.93671303526116,0,24.3938146906435,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,174.26000213623,7.38095903396606,6.5,247.840668334535,88.0438846431465,101.427006844195,0,0.053464499572284,3.76390076988879,NA,NA,NA
"238918",803,27131,27934,-51.8885894550193,-3.66652417059219,0.85478343886381,3959587.46697731,59.8694825917028,0,0,0.257141354951363,9.8274741652234,0,1.09478504455454,0,0,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,116.430000305176,3.20624303817749,6.5,272.965138852294,59.4754585163934,113.971846915751,14.4321454894351,0.229481157445588,39.7504392412779,0.150597009573667,NA,NA
"234046",867,27067,27934,-52.3382693207771,-3.75659111384853,0.466702082065058,3512594.76011372,78.7683891476307,0,0,1.48759108736675,5.43447183711124,0,0.903869894952835,0,0,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,152.014999389648,1.82497602701187,5.5,299.869443227798,52.5778469591144,75.8082021657517,10.2614053872504,NA,21.2316108523693,NA,NA,NA
"235017",1414,26520,27934,-52.2489498027589,-3.89174937627938,0.157546022900255,3178580.12722101,91.785291692065,0,0,5.08136698333976,2.34954647570771,0,2.23578987057075,0,0,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,157.009994506836,3.97812449932098,5.5,282.157103826197,70.2900299841595,69.0523802845076,4.56306878958886,NA,8.21470830793503,NA,NA,NA
"240865",1862,26072,27934,-51.7084092786545,-3.71156921458166,0.795682534476786,4612866.17876628,55.6312524651296,0,0,6.22110710393486,4.02889877179864,0,1.88090928263588,0,0,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,135.889999389648,3.66577589511871,6.5,256.199282298228,63.5324396110064,127.178408061086,4.79609382367169,0.0250995015956112,44.3436480332748,NA,NA,NA
"235502",1735,26199,27934,-52.2039047670296,-3.98183947717904,0.206764046907854,4078002.54915449,89.1032306644197,0,0,10.6960846004175,4.33055637317433,0,0.624792100254154,0,17.2303412955961,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,211.419998168945,4.01730108261108,5.5,271.476344524326,81.4363404225326,65.5212152716567,0,NA,10.8967693355803,NA,NA,NA
"239898",1799,26135,27934,-51.7984993671349,-3.39625388309409,0.97208976513017,5492331.00257985,30.7146186668579,1.62288968878967,0,1.35409072209163,5.76281499282552,0,1.33009555946444,0,0,1508357,0.596,0.451,0.792,0.594,14987,50.91,3088045,209799.94,93.2799987792969,4.25832390785217,5.5,289.923887843285,28.4213036296564,91.8963256297313,3.40709904873335,NA,69.281795690057,0.00358564308508731,NA,NA
"235506",3086,24870,27956,-52.2039047636679,-3.80165929941605,0.755569138260298,6983828.83540251,65.6351966725232,0,0,3.13748429301368,5.79803795934858,0,0.0911222352409728,0,0,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,151.800003051758,3.15192902088165,5.5,286.225488902382,62.5399850965819,79.9207223183148,14.5188613321029,NA,34.3648033274768,NA,NA,NA
"237451",3855,24078,27933,-52.0237245825443,-3.93679444539179,0.333189000527602,1806653.65011677,82.3210721414314,0,0,11.7719362221734,0.939222046895898,0,2.9494629080299,0,24.918397450386,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,149.169998168945,2.68420100212097,6.5,261.882897157627,80.4769968412792,84.397771007702,0,NA,17.6789278585686,NA,NA,NA
"238920",129,27805,27934,-51.8885894590124,-3.57643407425062,0.966910641892841,3219825.82999745,44.9245222130589,0,0,3.73474239589628,6.04801220012853,4.32240824621941,1.26877189909251,0,0,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,87.0450019836426,0,6.5,280.484479656057,49.7635277308243,105.113738931915,8.24970364804324,1.13664885797268,1.73186561009717,52.2069633188712,NA,NA
"241347",129,27805,27934,-51.6633642077538,-3.936794425742,0.00945856540412182,415292.273892249,99.5259481037924,0,0,18.2151926798537,0,0,4.55545368893396,0,24.9184327318702,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,169.539993286133,5.27409696578979,6.5,234.011369275039,88.8489439221714,119.379733924148,0,NA,0.474051896207585,NA,NA,NA
"243788",185,27748,27933,-51.4563589280244,-3.66628876954405,0.0781269258825165,1076255.05694076,96.0142215568862,1.30304859443946,0,0.427322916837008,0.949839342837027,0,1.9042280732056,0,0,1500859,0.548,0.371,0.788,0.563,27161,48.3,351203,12961.42,140.745002746582,1.94457149505615,5.5,243.703518338191,66.2351307251698,138.235236328353,12.8520177889532,NA,3.98577844311377,NA,NA,NA
"239393",193,27740,27933,-51.8435444125461,-4.20706469654717,0.0157628803251375,628228.758276471,99.2087254063302,0,0,16.5286526449486,2.01399312386417,0,1.14264429957694,0,24.9103009717417,1507805,0.514,0.338,0.754,0.533,11839,53.89,126966,11179.54,192.580001831055,8.6928277015686,6.5,226.141365553643,115.213650889935,90.7578738857092,0,NA,0.791274593669803,NA,NA,NA
"236000",322,27611,27933,-52.1588597074748,-3.4863439946386,0.776204206293745,4081994.06877839,53.3651260353544,4.60183195669874,0,0.245468335116869,5.6864451920084,0,0.665562604820399,0,0,1500602,0.665,0.548,0.811,0.662,113195,54.67,2500591,22439.9,182.660003662109,7.36805939674377,4.5,307.948146391839,28.4771291284151,84.8645988513375,32.825765126684,NA,46.6348739646456,NA,NA,NA
